date,time,open,high,low,close,tickvol,volume,spread,timestamp,ema20,ema50,atr,vwap
2025.10.14,04:19:00,24812.0,24814.7,24811.0,24812.8,260,0,100,2025-10-14 04:19:00,24813.46356301826,24812.320615152148,9.921428571428935,24680.306336972553
2025.10.14,04:20:00,24812.3,24820.7,24812.3,24814.7,265,0,100,2025-10-14 04:20:00,24813.581318921282,24812.41392436187,8.664285714286182,24680.391290948166
2025.10.14,04:21:00,24814.5,24817.5,24811.5,24814.5,273,0,100,2025-10-14 04:21:00,24813.66881235735,24812.49573124964,8.192857142857715,24680.478567171718
2025.10.14,04:22:00,24814.4,24818.9,24813.5,24818.5,232,0,100,2025-10-14 04:22:00,24814.128925466175,24812.731192769264,7.821428571429091,24680.55485771602
2025.10.14,04:23:00,24818.4,24820.4,24816.9,24819.8,292,0,100,2025-10-14 04:23:00,24814.66902780273,24813.00840089596,7.428571428571948,24680.65166255571
2025.10.14,04:24:00,24819.5,24820.8,24814.0,24817.5,230,0,100,2025-10-14 04:24:00,24814.93864420247,24813.184542037296,7.021428571429039,24680.726559443752
2025.10.14,04:25:00,24817.3,24822.0,24817.3,24821.8,198,0,100,2025-10-14 04:25:00,24815.592106659376,24813.522403133873,6.628571428571896,24680.79299526215
2025.10.14,04:26:00,24821.8,24823.9,24818.5,24822.0,192,0,100,2025-10-14 04:26:00,24816.202382215626,24813.854857912935,6.514285714286286,24680.85744943371
2025.10.14,04:27:00,24821.8,24824.2,24821.3,24821.8,196,0,100,2025-10-14 04:27:00,24816.735488671282,24814.16643211243,6.328571428572104,24680.92309258801
2025.10.14,04:28:00,24821.3,24823.8,24820.3,24820.5,201,0,100,2025-10-14 04:28:00,24817.09401355973,24814.41480732371,6.11428571428639,24680.989726220978
2025.10.14,04:29:00,24820.4,24821.0,24813.5,24816.0,249,0,100,2025-10-14 04:29:00,24816.989821792136,24814.476971742388,5.621428571429143,24681.06952445155
2025.10.14,04:30:00,24816.2,24816.2,24809.9,24810.9,341,0,100,2025-10-14 04:30:00,24816.409838764313,24814.336698340725,5.592857142857611,24681.174528666597
2025.10.14,04:31:00,24811.0,24812.4,24808.2,24810.3,231,0,100,2025-10-14 04:31:00,24815.827949358187,24814.17839644501,5.478571428572001,24681.24523555542
2025.10.14,04:32:00,24810.3,24812.9,24809.2,24811.7,220,0,100,2025-10-14 04:32:00,24815.434811324074,24814.08120442756,5.142857142857663,24681.313233224497
2025.10.14,04:33:00,24811.8,24818.7,24811.8,24817.9,252,0,100,2025-10-14 04:33:00,24815.66959119797,24814.230961116675,5.378571428571896,24681.394733925914
2025.10.14,04:34:00,24817.4,24819.8,24815.7,24816.0,168,0,100,2025-10-14 04:34:00,24815.701058702925,24814.30033519053,5.071428571428831,24681.448258200107
2025.10.14,04:35:00,24815.8,24819.5,24813.0,24813.2,219,0,100,2025-10-14 04:35:00,24815.46286263598,24814.257184790902,5.107142857143117,24681.5165164071
2025.10.14,04:36:00,24813.9,24821.4,24813.7,24820.0,200,0,100,2025-10-14 04:36:00,24815.894970956364,24814.482393230475,5.307142857143065,24681.58200670113
2025.10.14,04:37:00,24820.3,24820.4,24813.5,24814.4,263,0,100,2025-10-14 04:37:00,24815.752592770044,24814.479162123396,5.550000000000312,24681.664551864935
2025.10.14,04:38:00,24814.5,24818.0,24812.7,24817.4,236,0,100,2025-10-14 04:38:00,24815.909488696707,24814.593704785224,5.442857142857455,24681.740207646442
